Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
10/01,0.1605095678,0.1453183345,0.1200257661,0.1039861291
10/02,0.1181388586,0.1453183345,0.095707025,0.1039861291
10/03,0.1533869055,0.1453183345,0.1159377019,0.1039861291
10/04,0.1633099308,0.1453183345,0.1216330392,0.1039861291
10/07,0.1737504144,0.1453183345,0.1276253727,0.1039861291
10/08,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/09,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/10,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/11,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/15,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/16,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/17,-0.0011812538,0.1453183345,0.0272230422,0.1039861291
10/18,-0.009326704,0.1453183345,0.0225479471,0.1039861291
10/21,-0.009326704,0.1453183345,0.0225479471,0.1039861291
10/22,-0.0095735358,0.1453183345,0.0224062776,0.1039861291
10/23,-0.0095735358,0.1453183345,0.0224062776,0.1039861291
10/24,-0.0095735358,0.1453183345,0.0224062776,0.1039861291
10/25,-0.0095735358,0.1453183345,0.0224062776,0.1039861291
10/28,-0.0095735358,0.1453183345,0.0224062776,0.1039861291
10/29,-0.0330225593,0.1453183345,0.0089476704,0.1039861291
10/30,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
10/31,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/01,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/04,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/05,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/06,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/07,-0.0355596994,0.1433592299,0.0073776497,0.1033184063
11/08,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/12,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/13,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/14,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/15,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/18,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/19,-0.0355596994,0.1433592299,0.0022527433,0.0988424539
11/20,,,-0.008646103,0.0901733089
11/21,,,-0.008646103,0.0901733089
11/22,,,-0.008646103,0.0901733089
11/25,,,-0.008646103,0.0901733089
11/26,,,-0.008646103,0.0901733089
11/27,,,-0.008646103,0.0901733089
11/30,,,-0.008646103,0.0901733089
12/03,,,-0.008646103,0.0901733089
12/04,,,-0.008646103,0.0901733089
12/05,,,-0.008646103,0.0901733089
12/06,,,,
