Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
03/02,0.101441,0.138354,0.086393,0.109033
03/03,0.373202,0.138354,0.247534,0.109033
03/04,0.373202,0.138354,0.247534,0.109033
03/05,0.373202,0.138354,0.247534,0.109033
03/06,0.373202,0.138354,0.247534,0.109033
03/09,0.373202,0.138354,0.247534,0.109033
03/10,0.387193,0.138354,0.25583,0.109033
03/11,0.387193,0.138354,0.25583,0.109033
03/12,0.387193,0.138354,0.25583,0.109033
03/13,0.387193,0.138354,0.25583,0.109033
03/16,0.387193,0.138354,0.25583,0.109033
03/17,0.369871,0.138354,0.245559,0.109033
03/18,0.369871,0.138354,0.245559,0.109033
03/19,0.369871,0.138354,0.245559,0.109033
03/20,0.369871,0.138354,0.245559,0.109033
03/23,0.369871,0.138354,0.245559,0.109033
03/24,0.355386,0.140098,0.243192,0.109972
03/25,0.355386,0.140098,0.243192,0.109972
03/26,0.355386,0.140098,0.243192,0.109972
03/27,0.355386,0.140098,0.243192,0.109972
03/30,0.355386,0.140098,0.246648,0.113114
03/31,0.347845,0.140098,0.242022,0.113114
04/01,0.347845,0.140098,0.242022,0.113114
04/02,0.347845,0.140098,0.242022,0.113114
04/03,0.347845,0.140098,0.242022,0.113114
04/06,0.347845,0.140098,0.242022,0.113114
04/07,0.347845,0.140098,0.242022,0.113114
04/08,0.347845,0.140098,0.242022,0.113114
04/09,0.347845,0.140098,0.242022,0.113114
04/10,0.347845,0.140098,0.242022,0.113114
04/13,0.347845,0.140098,0.242022,0.113114
04/14,0.347845,0.140098,0.242022,0.113114
04/15,0.347845,0.140098,0.242022,0.113114
04/16,0.347845,0.140098,0.242022,0.113114
04/17,,,0.18234,0.169368
04/20,,,0.18234,0.169368
04/21,,,0.18234,0.169368
04/22,,,0.18234,0.169368
04/23,,,0.18234,0.169368
04/24,,,0.18234,0.169368
04/27,,,0.18234,0.169368
04/28,,,0.18234,0.169368
04/29,,,0.18234,0.169368
04/30,,,,
