Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
03/03,0.0089797475558888,0.261956374155937,0.0405750943830899,0.216173771205529
03/04,0.0098540595740395,0.261956374155937,0.0411835830403159,0.216173771205529
03/05,0.0098540595740395,0.261956374155937,0.0411835830403159,0.216173771205529
03/06,0.0098540595740395,0.261956374155937,0.0411835830403159,0.216173771205529
03/07,0.0098540595740395,0.261956374155937,0.0411835830403159,0.216173771205529
03/10,0.0098540595740396,0.261956374155937,0.0411835830403159,0.216173771205529
03/11,0.0050585357700852,0.261956374155937,0.0378460767730052,0.216173771205529
03/12,0.0052431356461692,0.258315422571535,0.0364125768924991,0.213864874738082
03/13,0.0052431356461692,0.258315422571535,0.0364125768924991,0.213864874738082
03/14,0.0052431356461692,0.258315422571535,0.0364125768924991,0.213864874738082
03/17,0.0052431356461692,0.258315422571535,0.0364125768924991,0.213864874738082
03/18,-0.0009714246520683,0.258315422571535,0.0320815582835671,0.213864874738082
03/19,-0.0009714246520683,0.258315422571535,0.0320815582835671,0.213864874738082
03/20,-0.0009714246520683,0.258315422571535,0.0320815582835671,0.213864874738082
03/21,-0.0009714246520683,0.258315422571535,0.0320815582835671,0.213864874738082
03/24,-0.0009714246520683,0.258315422571535,0.032081558283567,0.213864874738082
03/25,0.0108362399145829,0.258315422571535,0.0403104936405378,0.213864874738082
03/26,0.0108362399145829,0.258315422571535,0.0403104936405378,0.213864874738082
03/27,0.0108362399145829,0.258315422571535,0.0403104936405378,0.213864874738082
03/28,0.0108362399145829,0.258315422571535,0.0531303749170725,0.229510476165579
03/31,0.0108362399145829,0.258315422571535,0.0531303749170725,0.229510476165579
04/01,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/02,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/03,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/04,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/07,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/08,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/09,0.0281482293168166,0.258315422571535,0.0651977338146743,0.229510476165579
04/10,,,-0.0007135211169666,0.0985617655876033
04/11,,,-0.0007135211169666,0.0985617655876033
04/14,,,-0.0007135211169666,0.0985617655876033
04/15,,,-0.0007135211169666,0.0985617655876033
04/16,,,-0.0007135211169666,0.0985617655876033
04/17,,,-0.0007135211169666,0.0985617655876033
04/18,,,-0.0007135211169666,0.0985617655876033
04/21,,,-0.0007135211169666,0.0985617655876033
04/22,,,-0.0007135211169666,0.0985617655876033
04/23,,,-0.0007135211169666,0.0985617655876033
04/24,,,-0.0007135211169666,0.0985617655876033
04/25,,,-0.0007135211169666,0.0985617655876033
04/28,,,-0.0007135211169666,0.0985617655876033
04/29,,,-0.0007135211169666,0.0985617655876033
04/30,,,,
