Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
11/02,0.192776,0.15436,0.131409,0.109715
11/03,0.044735,0.15436,0.043439,0.109715
11/04,0.044735,0.15436,0.043439,0.109715
11/05,0.044735,0.15436,0.043439,0.109715
11/06,0.044735,0.15436,0.043439,0.109715
11/09,0.044735,0.15436,0.043439,0.109715
11/10,0.056069,0.15436,0.050173,0.109715
11/12,0.056069,0.15436,0.050173,0.109715
11/13,0.056069,0.15436,0.050173,0.109715
11/16,0.056069,0.15436,0.050173,0.109715
11/17,0.028441,0.158179,0.036278,0.113223
11/18,0.028441,0.158179,0.036278,0.113223
11/19,0.028441,0.158179,0.036278,0.113223
11/20,0.028441,0.158179,0.036278,0.113223
11/23,0.028441,0.158179,0.036278,0.113223
11/24,-0.021508,0.158179,0.006297,0.113223
11/25,-0.021508,0.158179,0.000382,0.10621
11/27,-0.021508,0.158179,0.000382,0.10621
11/30,-0.021508,0.158179,0.000382,0.10621
12/01,-0.062977,0.158179,-0.024416,0.10621
12/02,-0.062977,0.158179,-0.024416,0.10621
12/03,-0.062977,0.158179,-0.024416,0.10621
12/04,-0.062977,0.158179,-0.024416,0.10621
12/07,-0.062977,0.158179,-0.024416,0.10621
12/08,-0.062977,0.158179,-0.024416,0.10621
12/09,-0.062977,0.158179,-0.024416,0.10621
12/10,-0.062977,0.158179,-0.024416,0.10621
12/11,-0.062977,0.158179,-0.024416,0.10621
12/14,-0.062977,0.158179,-0.024416,0.10621
12/15,,,0.037053,0.130615
12/16,,,0.037053,0.130615
12/17,,,0.037053,0.130615
12/18,,,0.037053,0.130615
12/21,,,0.037053,0.130615
12/22,,,0.037053,0.130615
12/23,,,,
