Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
08/01,0.0170991101,0.1585800088,0.0436567578,0.1247362283
08/04,0.0170991101,0.1585800088,0.0436567578,0.1247362283
08/05,0.0268608009,0.1585800088,0.0492946692,0.1247362283
08/06,0.0268608009,0.1585800088,0.0492946692,0.1247362283
08/07,0.0268608009,0.1585800088,0.0492946692,0.1247362283
08/08,0.0268608009,0.1585800088,0.0492946692,0.1247362283
08/11,0.0268608009,0.1585800088,0.0492946692,0.1247362283
08/12,0.0182288535,0.1585800088,0.0443092466,0.1247362283
08/13,0.0182288535,0.1585800088,0.0443092466,0.1247362283
08/14,0.0182288535,0.1585800088,0.0443092466,0.1247362283
08/15,0.0182288535,0.1585800088,0.0443092466,0.1247362283
08/18,0.0182288535,0.1585800088,0.0443092466,0.1247362283
08/19,0.0018639416,0.1532916642,0.0347773814,0.1205556564
08/20,0.001864,0.153292,0.034777,0.120556
08/21,0.0018639416,0.1532916642,0.0347773814,0.1205556564
08/22,0.0018639416,0.1532916642,0.0347773814,0.1205556564
08/25,0.001864,0.153292,0.034777,0.120556
08/26,-0.0124531967,0.1532916642,0.0265253477,0.1205556564
08/27,-0.0124531967,0.1532916642,0.0265253477,0.1205556564
08/28,-0.012453,0.153292,0.026525,0.120556
08/29,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/02,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/03,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/04,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/05,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/08,-0.012453,0.153292,0.026195,0.121891
09/09,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/10,-0.012453,0.153292,0.026195,0.121891
09/11,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/12,-0.012453,0.153292,0.026195,0.121891
09/15,-0.0124531967,0.1532916642,0.0261950083,0.1218914496
09/16,-0.012453,0.153292,0.026195,0.121891
09/17,,,-0.0934480056,0.0102294384
09/18,,,-0.093448,0.010229
09/19,,,-0.093448,0.010229
09/22,,,-0.093448,0.010229
09/23,,,-0.0934480056,0.0102294384
09/24,,,-0.0934480056,0.0102294384
09/25,,,-0.0934480056,0.0102294384
09/26,,,-0.0934480056,0.0102294384
09/29,,,,
