Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
04/01,-0.115801,0.137769,-0.043333,0.11077
04/02,-0.03508,0.137769,0.006182,0.11077
04/03,-0.03508,0.137769,0.006182,0.11077
04/06,-0.031424,0.137769,0.008425,0.11077
04/07,-0.031424,0.137769,0.008425,0.11077
04/08,-0.031424,0.137769,0.008425,0.11077
04/09,-0.031424,0.137769,0.008425,0.11077
04/10,-0.031424,0.137769,0.008425,0.11077
04/13,-0.031424,0.137769,0.008425,0.11077
04/14,-0.035848,0.137769,0.005711,0.11077
04/15,-0.035848,0.137769,0.005711,0.11077
04/16,-0.035848,0.137769,0.005711,0.11077
04/17,-0.031106,0.145033,0.010794,0.115458
04/20,-0.031106,0.145033,0.010794,0.115458
04/21,0.01088,0.145033,0.036157,0.115458
04/22,0.01088,0.145033,0.036157,0.115458
04/23,0.01088,0.145033,0.036157,0.115458
04/24,0.01088,0.145033,0.036157,0.115458
04/27,0.01088,0.145033,0.036157,0.115458
04/28,0.068717,0.145033,0.071096,0.115458
04/29,0.068717,0.145033,0.071096,0.115458
04/30,0.068717,0.145033,0.068379,0.111496
05/01,0.068717,0.145033,0.068379,0.111496
05/04,0.068717,0.145033,0.068379,0.111496
05/05,0.068717,0.145033,0.068379,0.111496
05/06,0.068717,0.145033,0.068379,0.111496
05/07,0.068717,0.145033,0.068379,0.111496
05/08,0.068717,0.145033,0.068379,0.111496
05/11,0.068717,0.145033,0.068379,0.111496
05/12,0.068717,0.145033,0.068379,0.111496
05/13,0.068717,0.145033,0.068379,0.111496
05/14,0.068717,0.145033,0.068379,0.111496
05/15,0.068717,0.145033,0.068379,0.111496
05/18,0.068717,0.145033,0.068379,0.111496
05/19,0.068717,0.145033,0.068379,0.111496
05/20,0.068717,0.145033,0.068379,0.111496
05/21,0.068717,0.145033,0.068379,0.111496
05/22,,,0.091171,0.183386
05/26,,,0.091171,0.183386
05/27,,,0.091171,0.183386
05/28,,,0.091171,0.183386
05/29,,,0.091171,0.183386
06/01,,,,
