Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
08/01,0.076249,0.186672,0.071138,0.135642
08/02,0.048464,0.186672,0.049879,0.131576
08/03,0.048464,0.186672,0.049879,0.131576
08/04,0.048464,0.186672,0.049879,0.131576
08/05,0.048464,0.186672,0.049879,0.131576
08/08,0.048464,0.186672,0.049879,0.131576
08/09,0.039481,0.186672,0.044581,0.131576
08/10,0.039481,0.186672,0.044581,0.131576
08/11,0.039481,0.186672,0.044581,0.131576
08/12,0.039481,0.186672,0.044581,0.131576
08/15,0.039481,0.186672,0.044581,0.131576
08/16,0.031192,0.17866,0.039628,0.126727
08/17,0.0311922646,0.1786597704,0.0396277891,0.12672681
08/18,0.0311922646,0.1786597704,0.0396277891,0.12672681
08/19,0.0311922646,0.1786597704,0.0396277891,0.12672681
08/22,0.0311922646,0.1786597704,0.0396277891,0.12672681
08/23,0.0470330148,0.1786597704,0.0490241362,0.12672681
08/24,0.0470330148,0.1786597704,0.0490241362,0.12672681
08/25,0.0470330148,0.1786597704,0.0490241362,0.12672681
08/26,0.0470330148,0.1786597704,0.0490241362,0.12672681
08/29,0.0470330148,0.1786597704,0.0520441958,0.1301176563
08/30,0.0700692244,0.1786597704,0.0657218945,0.1301176563
08/31,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/01,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/02,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/06,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/07,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/08,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/09,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/12,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/13,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/14,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/15,0.0700692244,0.1786597704,0.0657218945,0.1301176563
09/16,,,0.1490849461,0.178684204
09/19,,,0.1490849461,0.178684204
09/20,,,0.1490849461,0.178684204
09/21,,,0.1490849461,0.178684204
09/22,,,0.1490849461,0.178684204
09/23,,,0.1490849461,0.178684204
09/26,,,0.1490849461,0.178684204
09/27,,,0.1490849461,0.178684204
09/28,,,0.1490849461,0.178684204
09/29,,,0.1490849461,0.178684204
09/30,,,,
