Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
02/03,0.1019897335,0.1326604404,0.075892565,0.087570596
02/04,-0.006581305,0.1326604404,0.0134183403,0.087570596
02/05,-0.006581305,0.1326604404,0.0134183403,0.087570596
02/06,-0.006581305,0.1326604404,0.0134183403,0.087570596
02/07,-0.006581305,0.1326604404,0.0134183403,0.087570596
02/10,-0.006581305,0.1326604404,0.0134183403,0.087570596
02/11,0.0061216399,0.1326604404,0.0207279014,0.087570596
02/12,0.0061216399,0.1326604404,0.0207279014,0.087570596
02/13,0.0061216399,0.1326604404,0.0207279014,0.087570596
02/14,0.0061216399,0.1326604404,0.0207279014,0.087570596
02/18,-0.0410285791,0.135180175,-0.0266922047,0.087570596
02/19,-0.0046123243,0.135180175,-0.0020394022,0.087570596
02/20,-0.0020109037,0.1339858619,0.0007972179,0.0873850006
02/21,-0.0020109037,0.1339858619,0.0007972179,0.0873850006
02/24,-0.0020109037,0.1339858619,0.0007972179,0.0873850006
02/25,0.0387041541,0.1339858619,0.0283023588,0.0873850006
02/26,0.0387041541,0.1339858619,0.0283023588,0.0873850006
02/27,0.0387041541,0.1339858619,0.0283023588,0.0873850006
02/28,0.0387041541,0.1339858619,0.0283023588,0.0873850006
03/03,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/04,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/05,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/06,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/07,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/10,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/11,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/12,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/13,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/14,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/17,0.0387041541,0.1339858619,0.033015717,0.0901999991
03/18,,,0.0855178259,0.0851270335
03/19,,,0.0855178259,0.0851270335
03/20,,,0.0855178259,0.0851270335
03/21,,,0.0855178259,0.0851270335
03/24,,,0.0855178259,0.0851270335
03/25,,,0.0855178259,0.0851270335
03/26,,,0.0855178259,0.0851270335
03/27,,,0.0855178259,0.0851270335
03/28,,,,
