Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
01/02,-0.297676,0.144937,-0.142391,0.119992
01/05,-0.297676,0.144937,-0.142391,0.119992
01/06,-0.565556,0.144937,-0.300744,0.119992
01/07,-0.565556,0.144937,-0.300744,0.119992
01/08,-0.565556,0.144937,-0.300744,0.119992
01/09,-0.565556,0.144937,-0.300744,0.119992
01/12,-0.565556,0.144937,-0.300744,0.119992
01/13,-0.637436,0.144937,-0.343235,0.119992
01/14,-0.637436,0.144937,-0.343235,0.119992
01/15,-0.637436,0.144937,-0.343235,0.119992
01/16,-0.590938,0.133383,-0.315974,0.111571
01/20,-0.590938,0.133383,-0.315974,0.111571
01/21,-0.657465,0.133383,-0.355146,0.111571
01/22,-0.657465,0.133383,-0.355146,0.111571
01/23,-0.657465,0.133383,-0.355146,0.111571
01/26,-0.657465,0.133383,-0.355146,0.111571
01/27,-0.701326,0.133383,-0.380972,0.111571
01/28,-0.701326,0.133383,-0.380972,0.111571
01/29,-0.701326,0.133383,-0.380972,0.111571
01/30,-0.701326,0.133383,-0.380972,0.111571
02/02,-0.701326,0.133383,-0.394518,0.110242
02/03,-0.701326,0.133383,-0.394518,0.110242
02/04,-0.701326,0.133383,-0.394518,0.110242
02/05,-0.701326,0.133383,-0.394518,0.110242
02/06,-0.701326,0.133383,-0.394518,0.110242
02/09,-0.701326,0.133383,-0.394518,0.110242
02/10,-0.701326,0.133383,-0.394518,0.110242
02/11,-0.701326,0.133383,-0.394518,0.110242
02/12,-0.701326,0.133383,-0.394518,0.110242
02/13,-0.701326,0.133383,-0.394518,0.110242
02/17,-0.701326,0.133383,-0.394518,0.110242
02/18,-0.701326,0.133383,-0.394518,0.110242
02/19,-0.701326,0.133383,-0.394518,0.110242
02/20,-0.686287,0.133485,-0.38245,0.110242
02/23,-0.686287,0.133485,-0.38245,0.110242
02/24,-0.686287,0.133485,-0.38245,0.110242
02/25,-0.686287,0.133485,-0.38245,0.110242
02/26,,,-0.401642,0.139903
02/27,,,-0.401642,0.139903
03/02,,,,
