Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
12/01,-0.213639,0.148164,-0.086478,0.128829
12/02,-0.001364,0.148164,0.038899,0.128829
12/03,-0.001364,0.148164,0.038899,0.128829
12/04,-0.001364,0.148164,0.038899,0.128829
12/05,-0.001364,0.148164,0.038899,0.128829
12/08,-0.001364,0.148164,0.038899,0.128829
12/09,-0.080964,0.148164,-0.008116,0.128829
12/10,-0.080964,0.148164,-0.008116,0.128829
12/11,-0.080964,0.148164,-0.008116,0.128829
12/12,-0.080964,0.148164,-0.008116,0.128829
12/15,-0.080964,0.148164,-0.008116,0.128829
12/16,-0.175336,0.148164,-0.063855,0.128829
12/17,-0.18689,0.141569,-0.07264,0.123911
12/18,-0.18689,0.141569,-0.07264,0.123911
12/19,-0.18689,0.141569,-0.07264,0.123911
12/22,-0.18689,0.141569,-0.07264,0.123911
12/23,-0.295725,0.141569,-0.141506,0.116966
12/24,-0.295725,0.141569,-0.141506,0.116966
12/26,-0.295725,0.141569,-0.141506,0.116966
12/29,-0.295725,0.141569,-0.141506,0.116966
12/30,-0.395588,0.141569,-0.200539,0.116966
12/31,-0.395588,0.141569,-0.200539,0.116966
01/02,-0.395588,0.141569,-0.200539,0.116966
01/05,-0.395588,0.141569,-0.200539,0.116966
01/06,-0.395588,0.141569,-0.200539,0.116966
01/07,-0.395588,0.141569,-0.200539,0.116966
01/08,-0.395588,0.141569,-0.200539,0.116966
01/09,-0.395588,0.141569,-0.200539,0.116966
01/12,-0.395588,0.141569,-0.200539,0.116966
01/13,-0.395588,0.141569,-0.200539,0.116966
01/14,-0.395588,0.141569,-0.200539,0.116966
01/15,-0.395588,0.141569,-0.200539,0.116966
01/16,,,-0.20557,0.015914
01/20,,,-0.20557,0.015914
01/21,,,-0.20557,0.015914
01/22,,,-0.20557,0.015914
01/23,,,-0.20557,0.015914
01/26,,,-0.20557,0.015914
01/27,,,-0.20557,0.015914
01/28,,,-0.20557,0.015914
01/29,,,-0.20557,0.015914
01/30,,,-0.20557,0.015914
02/02,,,,
