Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
11/03,0.08244,0.145259,0.085985,0.122766
11/04,-0.0193232751,0.1452587195,0.0265438955,0.1227657676
11/05,-0.019323,0.145259,0.026544,0.122766
11/06,-0.019323,0.145259,0.026544,0.122766
11/07,-0.019323,0.145259,0.026544,0.122766
11/10,-0.019323,0.145259,0.026544,0.122766
11/12,-0.0579616792,0.1452587195,0.003974712,0.1227657676
11/13,-0.057962,0.145259,0.003975,0.122766
11/14,-0.057962,0.145259,0.003975,0.122766
11/17,-0.057962,0.145259,0.003975,0.122766
11/18,-0.094123,0.145259,-0.017148,0.122766
11/19,-0.094123,0.145259,-0.017148,0.122766
11/20,-0.098481,0.150226,-0.023651,0.12561
11/21,-0.098481,0.150226,-0.023651,0.12561
11/24,-0.098481,0.150226,-0.023651,0.12561
11/25,-0.098481,0.150226,-0.023651,0.12561
11/26,-0.143693,0.150226,-0.047133,0.128455
11/28,-0.143693,0.150226,-0.047133,0.128455
12/01,-0.143693,0.150226,-0.047133,0.128455
12/02,-0.143693,0.150226,-0.047133,0.128455
12/03,-0.143693,0.150226,-0.047133,0.128455
12/04,-0.143693,0.150226,-0.047133,0.128455
12/05,-0.143693,0.150226,-0.047133,0.128455
12/08,-0.143693,0.150226,-0.047133,0.128455
12/09,-0.143693,0.150226,-0.047133,0.128455
12/10,-0.143693,0.150226,-0.047133,0.128455
12/11,-0.143693,0.150226,-0.047133,0.128455
12/12,-0.143693,0.150226,-0.047133,0.128455
12/15,-0.143693,0.150226,-0.047133,0.128455
12/16,-0.143693,0.150226,-0.047133,0.128455
12/17,,,-0.125252,0.069441
12/18,,,-0.125252,0.069441
12/19,,,-0.125252,0.069441
12/22,,,-0.125252,0.069441
12/23,,,,
