Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
06/01,0.063944,0.1431,0.045367,0.096248
06/02,0.274781,0.1431,0.168241,0.096248
06/03,0.274781,0.1431,0.168241,0.096248
06/04,0.274781,0.1431,0.168241,0.096248
06/05,0.274781,0.1431,0.168241,0.096248
06/08,0.274781,0.1431,0.168241,0.096248
06/09,0.274781,0.1431,0.168241,0.096248
06/10,0.274781,0.1431,0.168241,0.096248
06/11,0.274781,0.1431,0.168241,0.096248
06/12,0.274781,0.1431,0.168241,0.096248
06/15,0.274781,0.1431,0.168241,0.096248
06/16,0.303323,0.1431,0.184875,0.096248
06/17,0.303323,0.1431,0.184875,0.096248
06/18,0.281421,0.142727,0.181496,0.096748
06/19,0.281421,0.142727,0.181496,0.096748
06/22,0.281421,0.142727,0.181496,0.096748
06/23,0.286524,0.142727,0.1846,0.096748
06/24,0.286524,0.142727,0.1846,0.096748
06/25,0.286524,0.142727,0.183303,0.102419
06/26,0.286524,0.142727,0.183303,0.102419
06/29,0.286524,0.142727,0.183303,0.102419
06/30,0.286598,0.142727,0.183346,0.102419
07/01,0.286598,0.142727,0.183346,0.102419
07/02,0.286598,0.142727,0.183346,0.102419
07/03,0.286598,0.142727,0.183346,0.102419
07/06,0.286598,0.142727,0.183346,0.102419
07/07,0.286598,0.142727,0.183346,0.102419
07/08,0.286598,0.142727,0.183346,0.102419
07/09,0.286598,0.142727,0.183346,0.102419
07/10,0.286598,0.142727,0.183346,0.102419
07/13,0.286598,0.142727,0.183346,0.102419
07/14,0.286598,0.142727,0.183346,0.102419
07/15,0.286598,0.142727,0.183346,0.102419
07/16,0.286598,0.142727,0.183346,0.102419
07/17,,,0.238843,0.128988
07/20,,,0.238843,0.128988
07/21,,,0.238843,0.128988
07/22,,,0.238843,0.128988
07/23,,,0.238843,0.128988
07/24,,,0.238843,0.128988
07/27,,,0.238843,0.128988
07/28,,,0.238843,0.128988
07/29,,,0.238843,0.128988
07/30,,,0.238843,0.128988
07/31,,,0.238843,0.128988
08/03,,,,
