Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
07/01,0.138672,0.185396,0.111881,0.132683
07/05,0.155494,0.185396,0.123015,0.132683
07/06,0.053573,0.185396,0.055561,0.132683
07/07,0.053573,0.185396,0.055561,0.132683
07/08,0.053573,0.185396,0.055561,0.132683
07/11,0.053573,0.185396,0.055561,0.132683
07/12,0.025002,0.185396,0.036652,0.132683
07/13,0.025002,0.185396,0.036652,0.132683
07/14,0.025002,0.185396,0.036652,0.132683
07/15,0.022682,0.184228,0.034869,0.131957
07/18,0.022682,0.184228,0.034869,0.131957
07/19,0.001205,0.184228,0.020672,0.131957
07/20,0.001205,0.184228,0.020672,0.131957
07/21,0.001205,0.184228,0.020672,0.131957
07/22,0.001205,0.184228,0.020672,0.131957
07/25,0.001205,0.184228,0.020672,0.131957
07/26,-0.027776,0.184228,0.001515,0.131957
07/27,-0.027776,0.184228,0.001515,0.131957
07/28,-0.027776,0.184228,0.001515,0.131957
07/29,-0.027776,0.184228,0.001515,0.131957
08/01,-0.027776,0.184228,0.001515,0.131957
08/02,-0.027776,0.184228,0.0059,0.129883
08/03,-0.027776,0.184228,0.0059,0.129883
08/04,-0.027776,0.184228,0.0059,0.129883
08/05,-0.027776,0.184228,0.0059,0.129883
08/08,-0.027776,0.184228,0.0059,0.129883
08/09,-0.027776,0.184228,0.0059,0.129883
08/10,-0.027776,0.184228,0.0059,0.129883
08/11,-0.027776,0.184228,0.0059,0.129883
08/12,-0.027776,0.184228,0.0059,0.129883
08/15,-0.027776,0.184228,0.0059,0.129883
08/16,,,-0.007444,0.071687
08/17,,,-0.0074435302,0.0716874967
08/18,,,-0.0074435302,0.0716874967
08/19,,,-0.0074435302,0.0716874967
08/22,,,-0.0074435302,0.0716874967
08/23,,,-0.0074435302,0.0716874967
08/24,,,-0.0074435302,0.0716874967
08/25,,,-0.0074435302,0.0716874967
08/26,,,-0.0074435302,0.0716874967
08/29,,,,
